first_name,last_name,sex,date_of_birth,employment_date,organisation_name
Hildegarde,Ollin,Female,1963-08-08,2019-09-12,Research Academic Computer Technology Institu
Cordell,Riccardini,Male,1965-03-28,2014-10-22,Academy of Athens
Dareen,Barringer,Female,1980-06-22,2022-03-10,Hellenic Petroleum
Stafford,Gile,Male,1967-07-26,2020-05-17,Cosmote
Randi,Carnson,Agender,1977-03-15,2021-06-25,Lavipharm
Mario,Bladen,Male,1984-04-03,2013-04-01,Intracom
Grace,Caron,Male,1975-07-09,2012-11-23,Heron S.A.
Myriam,Kloster,Female,1971-03-21,2012-08-22,Halyvourgiki Steel
Belinda,Caulkett,Female,1968-06-04,2016-07-06,Viohalco
Birgitta,Peggram,Female,1974-05-27,2012-12-18,Larco
Ruttger,Derdes,Male,1982-11-21,2014-09-15,ALUMIL 
Allsun,Laying,Genderqueer,1979-07-05,2013-09-14,Vianex S.A.
Tybalt,Di Frisco,Male,1968-10-30,2018-02-20,National Technical University of Athens
Kelley,Balchin,Polygender,1975-09-04,2019-08-25,National Kapodistrian University of Athens
Stormi,Spinozzi,Female,1984-11-11,2019-05-20,Technical University of Crete
Ebonee,Kinneally,Female,1974-06-01,2012-09-12,University of Patras
Ivan,MacKerley,Male,1985-02-20,2016-01-03,University of West Attica
Fran,Leyborne,Male,1965-01-31,2016-04-13,Democritus University of Thrace
Cullie,Searchfield,Male,1985-02-07,2014-10-20,University of Ioannina
Dion,Brabyn,Female,1967-12-20,2016-07-22,University of Thessaly
Kelbee,Feasley,Male,1978-03-18,2020-02-15,Aristotle University of Thessaloniki
Harmonie,MacNeilley,Female,1973-12-23,2021-06-06,Agricultural University of Athens
Redford,Shernock,Male,1980-03-27,2021-05-25,Hellenic Centre for Marine Research
Mirilla,Scouller,Female,1975-12-09,2017-11-04,National Observatory of Athens
Katheryn,Musprat,Female,1983-02-26,2020-07-23,Hellenic Institute Pasteur
Grethel,Riglesford,Female,1968-09-19,2014-08-21,Centre for Research and Technology Hellas
Casie,McGeachy,Female,1969-04-21,2016-02-18,Biomedical Research Foundation
Nerte,Wilkes,Female,1983-05-08,2018-04-19,Foundation for Research and Technology Hellas
Red,Simonnot,Male,1966-05-13,2015-01-21,Demokritos National Centre for Scientific Researc
Fabien,McParland,Male,1963-07-08,2021-11-26,Athens Information Technology
Caritta,Tomaello,Female,1984-07-28,2020-06-27,Research Academic Computer Technology Institu
Vicky,Lamar,Female,1968-06-23,2014-06-08,Academy of Athens
Olympe,Burgot,Female,1977-05-13,2016-03-11,Hellenic Petroleum
Yvon,Dumsday,Agender,1978-03-29,2021-01-16,Cosmote
Ludvig,Brezlaw,Male,1983-09-18,2018-04-28,Lavipharm
Maximilianus,Fittis,Male,1984-08-20,2012-08-20,Intracom
Frederik,Heinritz,Male,1983-05-13,2013-02-01,Heron S.A.
Valli,Hardwicke,Female,1963-04-18,2013-08-13,Halyvourgiki Steel
Sollie,Robbeke,Male,1981-06-05,2014-07-25,Viohalco
Ted,Fritzer,Male,1980-12-13,2014-10-22,Larco
Darrick,Potte,Male,1967-12-30,2017-08-03,ALUMIL 
Celestyna,Warlowe,Female,1984-10-06,2020-04-05,Vianex S.A.
Paulo,Jennery,Male,1971-07-05,2020-07-27,National Technical University of Athens
Hillary,Leggis,Male,1984-04-05,2017-06-24,National Kapodistrian University of Athens
Oswell,Kinnerley,Male,1964-10-05,2017-04-08,Technical University of Crete
Perkin,Beecker,Male,1976-08-31,2014-01-24,University of Patras
Mariana,Chiverstone,Female,1972-05-22,2017-08-14,University of West Attica
Ardis,Ferries,Female,1971-08-03,2020-01-28,Democritus University of Thrace
Ettie,Blaszczak,Female,1962-12-29,2022-03-01,University of Ioannina
Raymund,Lune,Male,1983-02-02,2021-09-05,University of Thessaly
Veriee,Folger,Non-binary,1968-08-05,2019-03-12,Aristotle University of Thessaloniki
Demetris,Harrild,Male,1966-04-11,2021-01-07,Agricultural University of Athens
Rustie,Fake,Male,1967-01-11,2015-05-05,Hellenic Centre for Marine Research
Rance,Alstead,Male,1964-01-14,2018-09-05,National Observatory of Athens
Doreen,Arnet,Female,1967-04-01,2012-07-31,Hellenic Institute Pasteur
Penelope,O'Curneen,Female,1982-04-11,2018-06-13,Centre for Research and Technology Hellas
Richardo,Stobbie,Male,1967-10-21,2021-10-16,Biomedical Research Foundation
Cheryl,Hassey,Female,1983-12-25,2013-12-14,Foundation for Research and Technology Hellas
Keeley,Rimmer,Female,1966-09-12,2015-08-11,Demokritos National Centre for Scientific Researc
Adair,Caldeyroux,Male,1979-08-19,2017-12-03,Athens Information Technology
Lira,Joselevitch,Female,1972-09-08,2018-10-24,Research Academic Computer Technology Institu
Danella,Cuttings,Female,1981-03-15,2019-08-12,Academy of Athens
Benedicto,Labitt,Genderfluid,1980-03-24,2015-10-26,Hellenic Petroleum
Yasmin,Clitsome,Female,1977-10-06,2014-04-21,Cosmote
Hazlett,Celle,Male,1980-07-02,2020-11-09,Lavipharm
Syman,Suddick,Male,1969-01-20,2017-05-17,Intracom
Yancey,Lindenbluth,Male,1980-09-22,2013-12-07,Heron S.A.
Bartholomeo,Bleaden,Male,1967-11-21,2016-12-23,Halyvourgiki Steel
Pebrook,Lilleycrop,Male,1966-01-21,2014-03-04,Viohalco
Adelbert,Cleere,Male,1974-12-30,2017-02-06,Larco
Morie,Leas,Male,1972-03-17,2015-09-02,ALUMIL 
Kostas,Tsimikas,Male,1996-05-13,2020-07-22,Vianex S.A.
Lazaro,Brent,Agender,1984-04-22,2020-03-25,National Technical University of Athens
Hanna,Cassell,Female,1998-09-13,2014-10-01,National Kapodistrian University of Athens
Cyrill,Janson,Male,1992-03-08,2008-09-20,Technical University of Crete
Letta,Josephi,Female,1980-08-27,2009-12-01,University of Patras
Phaedra,McLellan,Female,1995-05-20,2015-01-27,University of West Attica
Charmain,Perello,Non-binary,1997-09-29,2016-03-19,Democritus University of Thrace
Iggie,Assiratti,Male,1987-01-30,2012-06-06,University of Ioannina
Georgy,Fermin,Male,1984-05-10,2009-06-06,University of Thessaly
Niccolo,Jinkins,Male,1986-09-03,2017-03-30,Aristotle University of Thessaloniki
Cristina,Barme,Female,1997-03-04,2017-06-26,Agricultural University of Athens
Alysa,Wilber,Female,1987-12-28,2017-12-30,Hellenic Centre for Marine Research
Janot,Bury,Genderqueer,1992-01-30,2011-01-19,National Observatory of Athens
Marney,Rodway,Female,1982-10-14,2018-10-15,Hellenic Institute Pasteur
Albert,Binion,Male,1982-12-09,2014-07-26,Centre for Research and Technology Hellas
Stavro,Dyter,Male,1980-11-19,2007-04-10,Biomedical Research Foundation
Ariadne,Matantsev,Female,1996-09-28,2005-10-05,Foundation for Research and Technology Hellas
Binny,Largan,Female,1989-07-11,2015-07-11,Demokritos National Centre for Scientific Researc
Carlie,Hullyer,Female,1981-12-15,2008-08-27,Athens Information Technology
Elwira,Lonsdale,Female,1993-10-18,2019-07-12,Research Academic Computer Technology Institu
Phyllida,Tremathick,Female,1998-09-10,2010-04-30,Academy of Athens
Melania,Bendik,Female,1983-01-12,2016-10-20,Hellenic Petroleum
Gabe,Jachimak,Male,1995-10-11,2007-09-19,Cosmote
Gregor,Brauner,Male,1981-06-11,2019-02-03,Lavipharm
Kristal,Lusher,Female,1983-11-14,2011-04-24,Intracom
Robena,Spring,Female,1985-08-01,2014-06-25,Heron S.A.
Cord,Calrow,Male,1989-11-28,2015-06-22,Halyvourgiki Steel
Kary,Symms,Female,1992-06-09,2017-02-24,Viohalco
Kari,Primarolo,Female,1995-01-27,2006-04-11,Larco
Chaddie,Trevon,Male,1984-11-30,2005-09-15,ALUMIL 
Jakie,Brilon,Male,1998-04-15,2012-04-14,Vianex S.A.
Waylin,Bangham,Male,1995-06-26,2010-06-23,National Technical University of Athens
Cori,Baudins,Male,1981-06-22,2015-04-07,National Kapodistrian University of Athens
Cilka,Mityushin,Genderfluid,1989-08-14,2014-10-04,Technical University of Crete
Joell,Ioselevich,Polygender,1998-12-11,2014-05-19,University of Patras
Phil,Fairbank,Female,1993-01-21,2010-03-17,University of West Attica
James,Eaglesham,Genderfluid,1980-12-23,2007-07-22,Democritus University of Thrace
Kermy,Hixley,Male,1984-09-28,2016-03-14,University of Ioannina
Tania,Bidnall,Polygender,1990-08-14,2013-01-10,University of Thessaly
Glenn,Silly,Male,1980-12-08,2017-10-21,Aristotle University of Thessaloniki
Gertrudis,Tomson,Female,1990-01-31,2017-10-04,Agricultural University of Athens
Hall,Goldring,Male,1999-03-03,2005-12-11,Hellenic Centre for Marine Research
Zilvia,Warlowe,Female,1996-09-26,2010-09-14,National Observatory of Athens
Hilliary,Pobjoy,Female,1993-03-13,2019-07-01,Hellenic Institute Pasteur
Delora,Mellodey,Genderfluid,1988-03-15,2009-05-31,Centre for Research and Technology Hellas
Sven,Iddon,Male,1992-08-04,2007-09-08,Biomedical Research Foundation
Daron,Klulisek,Female,1995-04-04,2014-11-15,Foundation for Research and Technology Hellas
Huntley,Van Dijk,Male,1984-08-28,2010-07-28,Demokritos National Centre for Scientific Researc
Kakalina,Gut,Female,1981-05-04,2016-10-16,Athens Information Technology
Nadiya,Dove,Female,1989-10-30,2012-08-30,Research Academic Computer Technology Institu
Bartie,Gurner,Male,1984-09-07,2016-04-14,Academy of Athens
Lauretta,Kiebes,Female,1991-09-22,2010-11-15,Hellenic Petroleum
Mufi,Honeywood,Female,1990-04-15,2010-02-11,Cosmote
Yelena,Benwell,Female,1997-11-27,2019-10-16,Lavipharm
Debera,Kinnen,Female,1981-04-26,2010-03-21,Intracom
Sibilla,Beavington,Female,1995-09-08,2011-10-27,Heron S.A.
Myron,Bowle,Male,1994-11-21,2007-07-07,Halyvourgiki Steel
Bobinette,Godlonton,Female,1992-03-08,2011-01-25,Viohalco
Inglebert,Chelam,Male,1990-05-03,2019-03-27,Larco
Vanni,Littlefield,Female,1982-09-01,2015-04-08,ALUMIL 
Jackie,Seiter,Bigender,1994-08-20,2016-09-15,Vianex S.A.
Myer,Blant,Male,1983-11-01,2008-06-24,National Technical University of Athens
Daphene,Kirkwood,Female,1992-03-23,2014-08-06,National Kapodistrian University of Athens
Andres,Trebbett,Male,1987-01-04,2015-09-10,Technical University of Crete
Shepard,Climance,Male,1996-06-23,2008-01-17,University of Patras
Rayner,MacCambridge,Male,1998-09-30,2008-08-31,University of West Attica
Yetty,Cisland,Female,1981-06-21,2010-01-06,Democritus University of Thrace
Ulises,Konig,Male,1993-12-31,2007-11-16,University of Ioannina
Harli,Loader,Female,1984-07-29,2008-09-13,University of Thessaly
Lucine,Kite,Female,1984-05-19,2018-12-30,Aristotle University of Thessaloniki
Anderson,Seywood,Male,1984-03-09,2008-07-18,Agricultural University of Athens
Dorey,Shortan,Male,1986-05-08,2007-02-28,Hellenic Centre for Marine Research
Darelle,Edgson,Female,1984-02-03,2015-08-30,National Observatory of Athens
Banky,Croy,Male,1993-02-26,2009-09-01,Hellenic Institute Pasteur
Thadeus,Bhar,Male,1984-07-01,2014-09-13,Centre for Research and Technology Hellas
Damaris,Itzak,Female,1984-04-17,2019-10-20,Biomedical Research Foundation
Georgy,Bickell,Male,1990-07-15,2013-10-24,Foundation for Research and Technology Hellas
Cammy,Stockney,Male,1985-04-13,2006-08-18,Demokritos National Centre for Scientific Researc
Freedman,Penrose,Male,1995-07-28,2008-01-12,Athens Information Technology
Page,McKillop,Female,1987-03-13,2009-08-21,Research Academic Computer Technology Institu
Tildy,Heilds,Female,1982-01-12,2009-01-25,Academy of Athens
Orella,Drayn,Female,1996-01-24,2006-02-13,Hellenic Petroleum
Liane,Bettinson,Female,1982-12-25,2007-02-28,Cosmote
Lori,Camel,Female,1980-11-12,2007-07-22,Lavipharm
Arvy,Dalgarnowch,Male,1980-10-08,2012-04-25,Intracom
Ulises,Sarah,Male,1989-08-05,2014-11-08,Heron S.A.
Mayne,Petri,Male,1981-02-15,2009-02-03,Halyvourgiki Steel
Berton,Tefft,Male,1998-03-22,2016-07-27,Viohalco
Jobyna,Dumbreck,Female,1986-04-29,2010-09-17,Larco
Theresa,Halfhyde,Female,1980-10-20,2018-11-24,ALUMIL 
Melina,Ioannou,Female,1984-11-28,2016-12-01,Vianex S.A.
Adlai,Benham,Male,1991-12-12,2011-09-13,National Technical University of Athens
Edna,Downie,Female,1984-07-22,2018-01-26,National Kapodistrian University of Athens
Sax,Zoppie,Male,1996-01-19,2005-06-25,Technical University of Crete
Zorah,Kaubisch,Female,1986-05-16,2016-06-02,University of Patras
Fabe,Copnell,Male,1994-01-28,2019-02-01,University of West Attica
Lizzie,Baldrick,Female,1992-12-05,2011-12-21,Democritus University of Thrace
Harwilll,Riseborough,Male,1993-12-02,2019-04-26,University of Ioannina
Gale,Pepi,Male,1982-07-04,2015-07-06,University of Thessaly
Martita,Danielut,Female,1983-11-10,2014-08-24,Aristotle University of Thessaloniki
Tad,Juara,Male,1981-06-17,2009-01-21,Agricultural University of Athens
